L3 Size
problem;l3usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;512k;47673;1785;2372;1587;2132;1587;64;267817;1,0
300;1m;47690;1783;2369;1586;2131;1586;64;267745;0,99973115971
300;2m;47699;1784;2372;1588;2135;1588;64;268021;1,00076171416
300;4m;47699;1784;2373;1588;2135;1588;64;268027;1,00078411751
300;8m;47699;1784;2373;1588;2135;1588;64;268027;1,00078411751
300;16m;47669;1783;2370;1587;2132;1587;64;267801;0,999940257713
300;32m;47671;1782;2369;1588;2134;1588;64;267922;1,00039205876
300;64m;47664;1784;2371;1588;2133;1588;64;267887;1,0002613725
300;128m;47679;1784;2371;1587;2133;1587;64;267854;1,00013815404
512;512k;47681;1782;2368;1586;2131;1586;64;267723;1,0
512;1m;47690;1781;2367;1586;2131;1586;64;267737;1,00005229285
512;2m;47689;1780;2367;1587;2133;1587;64;267858;1,00050425253
512;4m;47682;1788;2376;1587;2132;1587;64;267853;1,00048557651
512;8m;47691;1782;2368;1586;2131;1586;64;267743;1,00007470408
512;16m;47664;1786;2373;1588;2133;1588;64;267895;1,00064245507
512;32m;47671;1784;2370;1587;2132;1587;64;267803;1,00029881631
512;64m;47671;1784;2371;1588;2134;1588;64;267930;1,00077318721
512;128m;47672;1784;2371;1587;2132;1587;64;267811;1,00032869795
1000;512k;47687;1780;2367;1587;2133;1587;64;267854;1,0
1000;1m;47677;1783;2370;1587;2133;1587;64;267846;0,999970132983
1000;2m;47687;1783;2371;1588;2135;1588;64;267993;1,00051893942
1000;4m;47665;1786;2373;1588;2133;1588;64;267897;1,00016053522
1000;8m;47665;1788;2375;1588;2133;1588;64;267905;1,00019040223
1000;16m;47682;1784;2370;1586;2131;1586;64;267733;0,999548261366
1000;32m;47691;1783;2371;1588;2135;1588;64;268001;1,00054880644
1000;64m;47673;1785;2372;1587;2132;1587;64;267817;0,999861865046
1000;128m;47693;1783;2372;1587;2134;1587;64;267919;1,00024266951
