L3 Size
problem;l3usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;512k;47698;1785;2374;1588;2135;1588;64;268029;1,0
300;1m;47676;1781;2368;1587;2133;1587;64;267836;0,999279928664
300;2m;47676;1782;2369;1587;2133;1587;64;267840;0,999294852423
300;4m;47686;1785;2374;1588;2135;1588;64;268005;0,99991045745
300;8m;47686;1784;2372;1588;2135;1588;64;267995;0,999873148055
300;16m;47690;1788;2378;1588;2135;1588;64;268031;1,00000746188
300;32m;47678;1785;2372;1587;2132;1587;64;267827;0,999246350208
300;64m;47685;1784;2371;1587;2133;1587;64;267866;0,999391856851
300;128m;47684;1784;2371;1587;2132;1587;64;267835;0,999276197725
512;512k;48223;1902;2487;1671;2245;1671;64;277942;1,0
512;1m;48211;1900;2484;1695;2245;1695;64;279416;1,00530326471
512;2m;48228;1900;2487;1690;2249;1690;64;279269;1,00477437739
512;4m;48219;1903;2486;1700;2246;1700;64;279782;1,00662008621
512;8m;48218;1903;2486;1701;2247;1701;64;279872;1,00694389477
512;16m;48217;1900;2484;1655;2245;1655;64;276908;0,996279799383
512;32m;48234;1904;2489;1702;2250;1702;64;280070;1,00765627361
512;64m;48217;1904;2486;1701;2246;1701;64;279839;1,00682516496
512;128m;48223;1899;2484;1681;2246;1681;64;278589;1,00232782379
1000;512k;48204;1904;2486;1701;2246;1701;64;279813;1,0
1000;1m;48226;1900;2485;1680;2245;1680;64;278507;0,995332597127
1000;2m;48235;1902;2490;1682;2250;1682;64;278822;0,996458348969
1000;4m;48226;1905;2488;1700;2246;1700;64;279804;0,999967835662
1000;8m;48226;1901;2486;1680;2246;1680;64;278540;0,995450533035
1000;16m;48230;1899;2484;1651;2245;1651;64;276684;0,988817531709
1000;32m;48229;1897;2482;1659;2246;1659;64;277207;0,990686637147
1000;64m;48239;1903;2489;1702;2250;1702;64;280082;1,00096135633
1000;128m;48211;1904;2487;1700;2246;1700;64;279770;0,999846325939
