L3 Size
problem;l3usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;512k;48219;1898;2483;1680;2246;1680;64;278514;1,0
300;1m;48228;1895;2480;1659;2244;1659;64;277139;0,9950630848
300;2m;48221;1899;2483;1679;2244;1679;64;278395;0,99957273243
300;4m;48221;1898;2482;1682;2243;1682;64;278551;1,0001328479
300;8m;48229;1900;2483;1698;2244;1698;64;279606;1,00392080829
300;16m;48204;1899;2483;1680;2245;1680;64;278453;0,999780980489
300;32m;48204;1904;2486;1700;2245;1700;64;279721;1,00433371392
300;64m;48204;1901;2485;1680;2245;1680;64;278461;0,99980970436
300;128m;48219;1897;2482;1682;2245;1682;64;278607;1,00033391499
512;512k;47681;1782;2368;1585;2130;1585;64;267631;1,0
512;1m;47689;1779;2366;1585;2131;1585;64;267670;1,00014572303
512;2m;47690;1779;2365;1584;2129;1584;64;267545;0,999678662038
512;4m;47699;1784;2372;1586;2133;1586;64;267837;1,00076971651
512;8m;47689;1779;2366;1585;2131;1585;64;267670;1,00014572303
512;16m;47672;1782;2368;1585;2130;1585;64;267613;0,999932743217
512;32m;47665;1785;2372;1586;2131;1586;64;267709;1,00029144606
512;64m;47690;1779;2365;1584;2129;1584;64;267545;0,999678662038
512;128m;47687;1781;2369;1587;2134;1587;64;267893;1,00097895984
1000;512k;48237;1900;2488;1683;2249;1683;64;278852;1,0
1000;1m;48217;1901;2484;1700;2246;1700;64;279770;1,00329206891
1000;2m;48221;1898;2485;1698;2249;1698;64;279751;1,00322393241
1000;4m;48212;1899;2484;1676;2246;1676;64;278252;0,997848320973
1000;8m;48212;1902;2485;1699;2245;1699;64;279672;1,002940628
1000;16m;48220;1899;2484;1679;2245;1679;64;278428;0,998479480154
1000;32m;48220;1903;2486;1699;2245;1699;64;279692;1,00301235064
1000;64m;48212;1903;2485;1700;2245;1700;64;279733;1,00315938204
1000;128m;48226;1898;2483;1679;2245;1679;64;278436;0,998508169208
