L2 Associativity
problem;l2uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48224;1901;2484;1820;2286;1701;64;280293;1,0
300;2;48217;1901;2485;1659;2249;1652;64;276797;0,987527337465
300;3;48217;1904;2486;1702;2247;1701;64;279862;0,998462323354
300;4;48234;1903;2489;1701;2249;1701;64;279980;0,998883311392
300;8;48234;1900;2487;1665;2249;1665;64;277706;0,990770372432
300;16;48230;1903;2486;1701;2247;1701;64;279896;0,998583624992
300;32;48230;1897;2483;1657;2246;1657;64;277089;0,988569104473
300;64;48240;1902;2489;1700;2249;1700;64;279931;0,998708494326
300;128;48210;1899;2484;1680;2246;1680;64;278500;0,993603122447
512;1;48224;1899;2484;1808;2298;1670;64;278578;1,0
512;2;48217;1905;2487;1706;2248;1701;64;279871;1,00464142897
512;3;48234;1902;2490;1685;2252;1680;64;278722;1,00051691088
512;4;48234;1900;2487;1694;2249;1694;64;279533;1,00342812426
512;8;48234;1904;2489;1702;2250;1702;64;280070;1,00535577109
512;16;48231;1902;2485;1700;2246;1700;64;279802;1,00439374251
512;32;48223;1899;2484;1687;2245;1687;64;278938;1,00129227721
512;64;48230;1900;2486;1672;2246;1672;64;278046;0,99809030146
512;128;48203;1900;2484;1697;2245;1697;64;279526;1,00340299665
1000;1;48228;1898;2484;1883;2330;1681;64;279825;1,0
1000;2;48229;1902;2485;1708;2249;1700;64;279837;1,00004288395
1000;3;48228;1902;2485;1701;2247;1701;64;279888;1,00022514071
1000;4;48238;1901;2490;1678;2250;1678;64;278578;0,995543643349
1000;8;48238;1904;2490;1702;2250;1702;64;280084;1,00092557849
1000;16;48239;1903;2489;1702;2250;1702;64;280082;1,00091843116
1000;32;48230;1899;2484;1667;2245;1667;64;277692;0,992377378719
1000;64;48239;1904;2490;1702;2250;1702;64;280086;1,00093272581
1000;128;48226;1903;2488;1702;2250;1702;64;280050;1,00080407397
