L3 Size
problem;l3usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;512k;48211;1898;2482;1680;2243;1680;64;278405;1,0
300;1m;48228;1899;2482;1700;2246;1700;64;279784;1,00495321564
300;2m;48228;1901;2484;1700;2246;1700;64;279792;1,00498195076
300;4m;48221;1901;2485;1681;2245;1681;64;278558;1,0005495591
300;8m;48228;1900;2483;1700;2246;1700;64;279788;1,0049675832
300;16m;48204;1902;2484;1700;2245;1700;64;279713;1,00469819148
300;32m;48211;1901;2484;1699;2245;1699;64;279666;1,00452937268
300;64m;48211;1897;2482;1658;2244;1658;64;277050;0,995132989709
300;128m;48228;1899;2487;1671;2247;1671;64;278016;0,998602754979
512;512k;48218;1897;2482;1680;2245;1680;64;278479;1,0
512;1m;48238;1899;2486;1682;2249;1682;64;278781;1,00108446238
512;2m;48228;1900;2483;1700;2246;1700;64;279788;1,00470053397
512;4m;48229;1897;2482;1656;2244;1656;64;276960;0,994545369669
512;8m;48228;1896;2481;1655;2245;1655;64;276920;0,994401732267
512;16m;48211;1896;2481;1662;2245;1662;64;277327;0,99586324283
512;32m;48211;1898;2481;1700;2246;1700;64;279746;1,0045497147
512;64m;48211;1901;2484;1699;2245;1699;64;279666;1,0042624399
512;128m;48228;1897;2484;1659;2247;1659;64;277246;0,995572377091
1000;512k;48235;1903;2488;1701;2249;1701;64;279976;1,0
1000;1m;48211;1898;2481;1699;2245;1699;64;279654;0,99884990142
1000;2m;48220;1903;2488;1701;2249;1701;64;279946;0,999892847958
1000;4m;48204;1902;2484;1700;2245;1700;64;279713;0,999060633769
1000;8m;48204;1903;2485;1700;2245;1700;64;279717;0,999074920707
1000;16m;48219;1895;2480;1667;2244;1667;64;277625;0,991602851673
1000;32m;48219;1899;2482;1699;2245;1699;64;279674;0,998921336115
1000;64m;48212;1901;2485;1680;2244;1680;64;278448;0,994542389348
1000;128m;48226;1902;2485;1699;2245;1699;64;279700;0,999014201217
