L3 Associativity
problem;l3uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48226;1897;2482;1658;2245;1658;64;277109;1,0
300;2;48226;1897;2482;1662;2244;1662;64;277332;1,00080473749
300;3;48226;1900;2485;1671;2244;1671;64;277911;1,002894168
300;4;48218;1900;2484;1671;2245;1671;64;277918;1,00291942882
300;8;48235;1899;2486;1682;2249;1682;64;278775;1,00601207467
300;16;48230;1901;2484;1699;2245;1699;64;279704;1,00936454608
300;32;48222;1898;2482;1694;2245;1694;64;279367;1,00814841813
300;64;48239;1898;2485;1695;2249;1695;64;279598;1,00898202512
300;128;48225;1901;2488;1674;2248;1674;64;278230;1,00404533956
512;1;48235;1899;2486;1685;2248;1685;64;278935;1,0
512;2;48218;1904;2486;1700;2245;1700;64;279749;1,0029182426
512;3;48225;1896;2481;1663;2245;1663;64;277418;0,99456145697
512;4;48225;1897;2482;1651;2245;1651;64;276666;0,991865488375
512;8;48225;1901;2484;1700;2246;1700;64;279786;1,00305088999
512;16;48239;1902;2488;1701;2249;1701;64;279986;1,00376790292
512;32;48239;1901;2489;1682;2249;1682;64;278797;0,999505261082
512;64;48222;1900;2484;1681;2245;1681;64;278556;0,998641260509
512;128;48225;1901;2487;1700;2248;1700;64;279862;1,0033233549
1000;1;48223;1899;2483;1651;2244;1651;64;276635;1,0
1000;2;48231;1900;2485;1670;2244;1670;64;277858;1,00442098794
1000;3;48240;1901;2488;1676;2248;1676;64;278386;1,00632964014
1000;4;48223;1899;2483;1681;2244;1681;64;278525;1,00683210729
1000;8;48240;1901;2487;1700;2248;1700;64;279892;1,01177363674
1000;16;48226;1899;2486;1678;2247;1678;64;278447;1,00655014731
1000;32;48216;1899;2482;1699;2245;1699;64;279668;1,01096390551
1000;64;48209;1901;2483;1699;2244;1699;64;279627;1,01081569577
1000;128;48230;1899;2486;1694;2249;1694;64;279521;1,01043251938
